twitter_handle_id,COUNT_OF_TWEETS
2463612602,119
1343504854216372224,118
1059910799458754561,117
1302244935857512448,116
3114292560,116
1366768300626120710,115
1360486702003982341,115
1188344257737908224,114
961187407637962752,113
993822411853303808,113
1344373743049707520,113
1367408326594551810,112
1364263965820399622,112
1364248099502370819,112
1077023416325148673,112
1195913684721102854,112
898944887848153092,110
963460930116911105,109
1344085898430918658,109
1216787155042869248,108
718550636766175232,107
361362830,107
1345068669601259520,107
1264433760,107
3419530221,107
1312899661859037184,106
1238520356878651392,105
2787862885,105
1190875025244450816,105
1260215446353129473,105
943530703811174407,105
1342701382550188032,104
1002172862646534144,104
930203096688578560,104
1357568523443134467,103
1332378958629908487,103
717890606,102
2260491445,102
441992142,102
857671326944960512,101
1302118446516371457,100
1209153968426930179,100
586887461,99
932360231836938240,98
2830292157,98
247659284,97
310309340,97
1183314895107846145,97
1357305545988988929,97
1128258178255183872,97
57481443,96
1365472703780708360,96
1349272817225838594,96
1119277376108683264,96
1131416139534352386,96
900386278356733952,96
340070780,95
1328718021477601280,94
282363933,93
1352024151712788485,93
3304958859,93
14508177,92
1095596180229083136,91
2759423707,91
128513662,90
1022733770116526080,90
3170035181,90
1362590381267947520,90
1291349831143784449,90
1253342066035195906,89
116355030,89
946580569101623298,89
1318362576158302208,89
278769230,89
1337780902680809474,89
1354201806398763010,89
716348353915686912,89
576533446,89
708864510,89
780792121431199745,88
1259845456374444047,88
31618785,88
1228804513550741504,88
1222021576767475712,88
209424197,87
1900674798,87
118794845,87
1360807899300311041,87
2163490567,87
328173696,86
1307611320360075264,86
1253481840431771648,85
24853840,85
950670486865895424,85
963344757622796289,85
1270203863589478405,85
2367320131,85
1261930118928187392,84
897815606254215170,84
39546945,84
15730804,84
1147773108,84
3367334171,84
1215035780847960065,84
342512565,84
1347927540988571649,83
1342089658415468544,83
39507936,83
417940953,83
1070436135497809921,83
1243936903600181249,82
1349709511116939270,82
1336790871413567492,82
949435914224328704,81
2274004166,81
627624891,81
940186685492596738,81
936941108487057408,81
79233326,81
1342840704930897925,80
59716459,80
1368564186515660804,80
1186658033079730176,80
944064787658498048,78
3292935490,78
1137138575374503936,78
1359843606102614016,78
268369564,77
1357827503042232320,77
1169897300056924162,77
954132666261131265,77
19643448,77
856088114489475076,76
1345450935623897089,76
1361036070423527433,76
952919420745207808,76
18152452,76
4737541095,76
1285079710729469953,76
53996135,76
1140532615,76
2957502363,76
1247653358317391873,75
886936160697757696,75
1154155133447618567,75
1061351306672115712,74
2762064758,74
1300364910518468609,74
93987593,74
4649374704,74
818642221645832193,74
1129975736561876992,74
1190895823674105856,74
1237052260300902400,73
1003182997418463232,73
1347683143424339970,73
865284894292758528,73
721964509078937600,73
939845430162198528,73
39050208,73
1323704060818583554,73
1335259591513419779,72
28119151,72
48831959,72
1341214000059613185,72
258681136,72
918122676195090433,72
1194432385,72
1317366340240506881,72
1248983406727266305,72
904423351011205120,71
1180092054774222848,71
2875000817,71
1366099229270245377,71
984731455942221825,71
1097211439159365632,71
1364719133791813632,71
3104828620,71
1243420752197464064,71
1237442117519245313,70
1351104330498273281,70
1362266273120452612,70
220435357,70
1354044773707997184,70
1010080677365047297,69
35550239,69
901484121251295237,69
922315556149084160,68
1361985690708439040,68
