twitter_handle_id,degree_total,degree_in,degree_out,pr,adj_tri
2400106946,1,1,0,2.176517657364438e-4,0
8.04462e+17,1,1,0,2.176517657364438e-4,0
607862740,1,1,0,2.176517657364438e-4,0
143761507,1,1,0,2.176517657364438e-4,0
1.03944e+18,2,2,0,2.835385149978414e-4,0
8.27135e+17,1,1,0,3.711113056335678e-4,0
1.04564e+18,1,1,0,2.586687163325836e-4,0
8.84793e+17,1,1,0,2.586687163325836e-4,0
363122568,2,2,0,3.176574604796353e-4,0
2985086508,1,1,0,2.3658102867482088e-4,0
1.35083e+18,1,1,0,3.8254727142722787e-4,0
1.25263e+18,1,1,0,3.057489090107187e-4,0
2658827755,1,1,0,3.057489090107187e-4,0
1.36349e+18,3,3,0,5.459056605449698e-4,0.3333333333333333
1206041426,3,3,0,3.215605115472782e-4,0.3333333333333333
8.0119e+17,1,1,0,3.711113056335678e-4,0
169082573,3,3,0,9.422290330686441e-4,0.6666666666666666
8.6169e+17,1,1,0,3.391054740411646e-4,0
1217433457,1,1,0,3.391054740411646e-4,0
1.37692e+18,2,2,0,5.071120573108789e-4,0
67048579,2,2,0,3.8251278003409005e-4,0
2501567072,1,1,0,2.8585600569072114e-4,0
1068355627,5,5,0,6.990732990347388e-4,0.1
3111836591,1,1,0,3.711113056335678e-4,0
1.00134e+18,2,2,0,8.606608613906849e-4,0
1.34448e+18,3,3,0,5.469133318800038e-4,0.3333333333333333
1.29317e+18,1,1,0,3.711113056335678e-4,0
1.35274e+18,4,4,0,0.0011807866913257465,0
1.27525e+18,1,1,0,2.832024825672209e-4,0
1.34859e+18,1,1,0,2.8585600569072114e-4,0
9.99588e+17,6,6,0,8.835708419480262e-4,0.5333333333333333
1.27267e+18,1,1,0,2.290191390621567e-4,0
254341951,1,1,0,2.290191390621567e-4,0
1.23206e+18,1,1,0,2.199233536239806e-4,0
1.36148e+18,1,1,0,2.8585600569072114e-4,0
1.37198e+18,1,1,0,2.8585600569072114e-4,0
511797386,2,2,0,5.57889709681183e-4,0
39361135,1,1,0,2.4785945302261943e-4,0
89038787,1,1,0,5.692472036806635e-4,0
535241898,1,1,0,5.16045315536407e-4,0
4213135953,1,1,0,2.542737145059558e-4,0
1.36657e+18,3,3,0,3.854558574880013e-4,0
534790879,1,1,0,2.3741188417289149e-4,0
564219600,1,1,0,3.583230106421408e-4,0
1.31534e+18,2,2,0,4.435783105849875e-4,0
57267042,1,1,0,4.0403537585454407e-4,0
9.61028e+17,1,1,0,2.7261325119477066e-4,0
8.77918e+17,1,1,0,3.711113056335678e-4,0
1.33634e+18,2,2,0,4.1669790642767684e-4,0
1.3237e+18,2,2,0,3.000652223478622e-4,0
3070507997,1,1,0,2.574375723764389e-4,0
1.35207e+18,1,1,0,3.711113056335678e-4,0
50338197,1,1,0,3.711113056335678e-4,0
1.15366e+18,1,1,0,5.730620856992746e-4,0
28670204,2,2,0,4.6437226660302314e-4,0
7.53629e+17,1,1,0,2.443061689240676e-4,0
7.63649e+17,1,1,0,4.07366225030469e-4,0
9.98808e+17,1,1,0,3.711113056335678e-4,0
20554600,1,1,0,2.3177407183773237e-4,0
14897758,1,1,0,2.3177407183773237e-4,0
1.37217e+18,1,1,0,3.711113056335678e-4,0
1463015624,1,1,0,6.739231761875663e-4,0
1.36864e+18,2,2,0,5.284574624340977e-4,0
19669153,1,1,0,2.6319557976293664e-4,0
32384129,2,2,0,6.762710873438924e-4,0
1359688184,1,1,0,3.711113056335678e-4,0
12339652,1,1,0,3.3142826961967607e-4,0
115907231,1,1,0,3.3142826961967607e-4,0
1.24894e+18,3,3,0,3.726571566983656e-4,0
1.00218e+18,3,3,0,4.1936164126331246e-4,0
1.12678e+18,3,3,0,6.63558056764953e-4,0
7.48526e+17,1,1,0,2.9791218178885817e-4,0
9.43977e+17,2,2,0,2.635386858767995e-4,0
1.27742e+18,1,1,0,3.711113056335678e-4,0
3298454376,4,4,0,3.64488745614711e-4,0.3333333333333333
27928735,1,1,0,5.864907837922541e-4,0
2815149604,1,1,0,3.164533242689175e-4,0
8.90021e+17,1,1,0,3.164533242689175e-4,0
2241788852,2,2,0,6.37619027286624e-4,0
2386492158,2,2,0,6.191946414284766e-4,0
1.35497e+18,2,2,0,2.848613046682024e-4,0
87328334,2,2,0,4.563666055764144e-4,0
1.29577e+18,1,1,0,3.711113056335678e-4,0
17367764,1,1,0,3.711113056335678e-4,0
398622156,1,1,0,3.711113056335678e-4,0
19675541,1,1,0,2.9593907620177135e-4,0
9.66265e+17,4,4,0,7.296842237633673e-4,0
1.22221e+18,3,3,0,7.63769667715583e-4,0
1346206429,1,1,0,2.421899752791778e-4,0
9.85385e+17,1,1,0,4.2810956630436075e-4,0
1.00564e+18,1,1,0,3.711113056335678e-4,0
1241170872,1,1,0,3.711113056335678e-4,0
317992307,1,1,0,2.1711784124558173e-4,0
22800002,1,1,0,2.4098119391225632e-4,0
52039307,1,1,0,2.4098119391225632e-4,0
138245983,1,1,0,2.8585600569072114e-4,0
8.45195e+17,1,1,0,2.627938102424282e-4,0
9.4563e+17,1,1,0,3.023862463309671e-4,0
1.35829e+18,1,1,0,2.574375723764389e-4,0
7.64563e+17,2,2,0,4.279481722621322e-4,0
8.00433e+17,1,1,0,2.8248950022936707e-4,0
1.36612e+18,1,1,0,3.711113056335678e-4,0
1.32336e+18,1,1,0,4.3172991824152286e-4,0
15115218,1,1,0,3.711113056335678e-4,0
104690576,2,2,0,5.620667266097955e-4,0
1.17228e+18,3,3,0,6.210023133749354e-4,0.3333333333333333
228878983,1,1,0,2.496742825218132e-4,0
1.29249e+18,2,2,0,5.705291025564266e-4,0
3623915954,1,1,0,3.235460154766536e-4,0
1.13799e+18,1,1,0,2.432283557192978e-4,0
3419788504,1,1,0,3.25214345825049e-4,0
411661117,1,1,0,3.711113056335678e-4,0
381159353,1,1,0,3.711113056335678e-4,0
67123562,1,1,0,6.685150403683939e-4,0
19216818,1,1,0,2.2363920550354726e-4,0
1.03596e+18,2,2,0,3.326726794006385e-4,0
300735360,1,1,0,5.337768473218355e-4,0
9.34097e+17,1,1,0,2.3470282572501315e-4,0
1536594337,2,2,0,2.6198204953777705e-4,0
1.19015e+18,1,1,0,4.47524079358464e-4,0
245091513,2,2,0,0.0012545638115027992,0
295272896,3,3,0,6.461632320824875e-4,0.3333333333333333
1.36517e+18,1,1,0,3.711113056335678e-4,0
1.27321e+18,1,1,0,3.711113056335678e-4,0
1.21303e+18,1,1,0,3.711113056335678e-4,0
