Weight,From,To
1,1.06145E+18,1.14989E+18
1,1.06145E+18,1.26107E+18
1,1.06164E+18,1.35556E+18
1,1.06164E+18,14348298
1,1.06164E+18,9.97327E+17
1,1.06164E+18,184954346
1,1.06164E+18,1.27301E+18
1,1.06216E+18,1.35519E+18
1,1.06216E+18,333726113
1,1.06216E+18,7.81597E+17
1,1.06407E+18,1.07887E+18
1,1.06788E+18,3023360911
1,1.06788E+18,1.33663E+18
1,1.06788E+18,1.35492E+18
1,1.06788E+18,8.22229E+17
1,1.06788E+18,1.20376E+18
1,1.06788E+18,1.29395E+18
1,1.06788E+18,1.18856E+18
1,1.06788E+18,1.26322E+18
1,1.06788E+18,1.31111E+18
1,1.06788E+18,264085436
1,1.06788E+18,1.08428E+18
1,1.074E+18,9.61817E+17
1,1.074E+18,157324480
1,1.074E+18,560892332
1,1.07404E+18,1.24244E+18
1,1.07404E+18,194499127
1,1.07449E+18,1.27138E+18
1,1.07551E+18,7.52342E+17
1,1.07612E+18,1.37941E+18
1,1.07841E+18,9.46482E+17
1,1.07841E+18,1.36161E+18
1,1.07841E+18,1.05069E+18
1,1.07841E+18,1.21608E+18
1,1.07867E+18,1.2062E+18
1,1.07887E+18,3627765012
1,1.07887E+18,1.37941E+18
1,1.07887E+18,1.06407E+18
1,1.07936E+18,9.99469E+17
1,1.07936E+18,9.69616E+17
1,1.07936E+18,942617634
1,1.07936E+18,7.27078E+17
1,1.07936E+18,9.8984E+17
1,1.07936E+18,1.27033E+18
1,1.07936E+18,594564076
1,1.07936E+18,3059706638
1,1.07936E+18,7.82602E+17
1,1.07936E+18,58007666
1,1.07936E+18,2248313230
1,1.07936E+18,271911263
1,1.07936E+18,1.11779E+18
1,1.07936E+18,1.27043E+18
1,1.07936E+18,9.67143E+17
1,1.07936E+18,1.21304E+18
1,1.07936E+18,1.28056E+18
1,1.08123E+18,1.19766E+18
1,1.08123E+18,8.49268E+17
1,1.08152E+18,8.38073E+17
1,1.08188E+18,1.17646E+18
1,1.08188E+18,312636941
1,1.08188E+18,217425933
1,1.08303E+18,1.18708E+18
1,1.08342E+18,30062488
1,1.08342E+18,1.35492E+18
1,1.08362E+18,1.24129E+18
1,1.08428E+18,9.08691E+17
1,1.08428E+18,192446249
1,1.08428E+18,1.06135E+18
1,1.08428E+18,1.06788E+18
1,1.08428E+18,1.04331E+18
1,1.08428E+18,1.30732E+18
1,1.08428E+18,8.50003E+17
1,1.08428E+18,242151754
1,1.08428E+18,406654240
1,1.08428E+18,9.51495E+17
1,1.08428E+18,4528248976
1,1.08428E+18,1.08303E+18
1,1.08428E+18,4239143413
1,1.08428E+18,101317272
1,1.08428E+18,1.1222E+18
1,1.08429E+18,2263137086
1,1.08452E+18,192446249
1,1.08452E+18,1.29395E+18
1,1.08452E+18,1.36237E+18
1,1.08452E+18,1.3657E+18
1,1084984824,62108806
1,1.08638E+18,25949466
1,1.08638E+18,1384411003
1,1.08638E+18,1.20289E+18
1,1.08638E+18,1.31206E+18
1,1.08638E+18,1.22231E+18
1,1.08638E+18,1.24714E+18
1,108878985,110605827
1,1.08905E+18,192446249
1,1.08905E+18,1.34102E+18
1,1.08905E+18,1.26648E+18
1,1.08905E+18,2341284950
1,1.08921E+18,150159234
1,1.08921E+18,9.28888E+17
1,1.08921E+18,9.71137E+17
1,1.08921E+18,1867108873
1,1.08921E+18,7.59051E+17
1,1.08921E+18,9.51877E+17
1,1.08921E+18,1.07936E+18
1,1.08921E+18,9.34871E+17
1,1.08921E+18,2337724718
1,1.08921E+18,2538082935
1,1.08921E+18,1.32948E+18
1,1.08921E+18,1.15769E+18
1,1.08921E+18,1.0046E+18
1,1.09173E+18,1.31111E+18
1,1.09173E+18,1.27066E+18
1,1.09173E+18,2280805769
1,1.09173E+18,2615972152
1,1.09173E+18,53143589
1,1.09173E+18,1.27329E+18
1,1.09426E+18,2227519243
1,1.09426E+18,42567817
1,1.09426E+18,1.03005E+18
1,1.09426E+18,1.18633E+18
1,1.09726E+18,7.46783E+17
1,1.09844E+18,9.78242E+17
1,1.09844E+18,9.39307E+17
1,1.10443E+18,2268584392
1,1.10554E+18,9.49086E+17
1,1.10554E+18,1.03566E+18
1,1.10554E+18,3388780323
1,1.10554E+18,4744548854
1,1.10554E+18,1.30732E+18
1,1.10554E+18,53143589
1,1.10554E+18,2615972152
1,110626303,9.01059E+17
1,1.10839E+18,1.21304E+18
1,1.10845E+18,1.25321E+18
1,1.10868E+18,513559960
1,1.10868E+18,43301547
1,1.10868E+18,130384095
1,1.10868E+18,9.63976E+17
1,1.11016E+18,2668541539
1,1.11016E+18,9.25002E+17
1,1.11096E+18,2645449265
1,1.11129E+18,468022281
1,1.11129E+18,91473252
1,1.11129E+18,6.98614E+17
1,1.11129E+18,548342907
1,1.11129E+18,1.25623E+18
1,1.11129E+18,9.48285E+17
1,111421712,1.29395E+18
1,1.11456E+18,194499127
1,1.11573E+18,9.71729E+17
1,1.11713E+18,2539632308
1,1.11779E+18,1.20347E+18
1,1.11781E+18,335943125
1,1.11781E+18,9.11959E+17
1,1.1179E+18,1.31206E+18
1,1.11846E+18,51809476
1,1.11846E+18,1.05256E+18
1,1.1203E+18,1.06483E+18
