,time,open,close,high,low,volume,id_date
15253,2021-03-11 10:52:00+08:00,56010.0,56028.0,56039.0,56003.0,0.6829959800000001,20210311
15252,2021-03-11 10:53:00+08:00,56039.0,56039.0,56039.0,56013.0,1.31305622,20210311
15251,2021-03-11 10:54:00+08:00,56037.1313628,56079.0,56087.0,56009.9444922,1.0739465,20210311
15250,2021-03-11 10:55:00+08:00,56087.24441544,56164.0,56164.0,56087.24441544,0.9459045,20210311
15249,2021-03-11 10:56:00+08:00,56164.0,56207.0,56207.0,56163.667296,0.83493874,20210311
15248,2021-03-11 10:57:00+08:00,56207.75437536,56242.0,56259.397854,56205.120576,0.26329444,20210311
15247,2021-03-11 10:58:00+08:00,56242.35624504,56260.0,56260.0,56239.204384,0.94466685,20210311
15246,2021-03-11 10:59:00+08:00,56259.0,56344.0,56345.0,56259.0,5.83204255,20210311
15245,2021-03-11 11:00:00+08:00,56344.21936,56451.0,56454.0,56344.21936,1.8796147300000001,20210311
15365,2021-03-11 11:01:00+08:00,56454.501042,56361.0,56461.0,56311.0,5.21175853,20210311
15364,2021-03-11 11:02:00+08:00,56355.0,56448.0,56448.0,56355.0,1.7166,20210311
15363,2021-03-11 11:03:00+08:00,56449.0,56416.0,56499.0,56414.0,2.28470187,20210311
15362,2021-03-11 11:04:00+08:00,56421.0,56355.0,56421.0,56355.0,0.87051384,20210311
15361,2021-03-11 11:05:00+08:00,56360.0,56376.0,56417.89988517,56360.0,0.75864197,20210311
15360,2021-03-11 11:06:00+08:00,56377.0,56303.0,56377.0,56303.0,3.432336,20210311
15359,2021-03-11 11:07:00+08:00,56316.0,56315.0,56337.0,56289.0,0.44936552,20210311
15358,2021-03-11 11:08:00+08:00,56296.70887038,56275.0,56296.70887038,56275.0,0.5882004000000001,20210311
15357,2021-03-11 11:09:00+08:00,56279.18912616,56284.0,56351.95674108,56279.18912616,0.48129,20210311
15356,2021-03-11 11:10:00+08:00,56275.0,56274.0,56276.0,56274.0,0.8486615399999999,20210311
15355,2021-03-11 11:11:00+08:00,56274.0,56191.0,56274.0,56177.0,2.99351597,20210311
15354,2021-03-11 11:12:00+08:00,56169.44124792,56221.607959,56221.607959,56102.0,7.73407031,20210311
15353,2021-03-11 11:13:00+08:00,56221.9293636,56239.0,56239.0,56150.68272,8.94359011,20210311
15352,2021-03-11 11:14:00+08:00,56239.0,56223.0,56269.0,56199.0,4.83316522,20210311
15351,2021-03-11 11:15:00+08:00,56245.0,56150.0,56245.0,56150.0,0.793279,20210311
15350,2021-03-11 11:16:00+08:00,56150.0,56100.0,56151.0,56100.0,0.73384648,20210311
15349,2021-03-11 11:17:00+08:00,56099.5575,56064.0,56137.906851,56061.0,10.443977,20210311
15348,2021-03-11 11:18:00+08:00,56063.0,56054.0,56071.0,56054.0,2.64512134,20210311
15347,2021-03-11 11:19:00+08:00,56055.0,56089.0,56089.0,55981.89083196,2.44428474,20210311
15346,2021-03-11 11:20:00+08:00,56087.0,55922.0,56087.0,55921.770725,0.33735224,20210311
15345,2021-03-11 11:21:00+08:00,55934.52882618,55972.0,55972.0,55911.0,0.81250399,20210311
15344,2021-03-11 11:22:00+08:00,55954.0,55993.622375,56039.0,55954.0,0.73682512,20210311
15343,2021-03-11 11:23:00+08:00,55971.70265152,56013.0,56013.0,55961.0,0.67531733,20210311
15342,2021-03-11 11:24:00+08:00,56030.0,56018.0,56039.0,55989.0,0.86108971,20210311
15341,2021-03-11 11:25:00+08:00,56003.7679232,55996.0,56030.0,55996.0,0.90620597,20210311
15340,2021-03-11 11:26:00+08:00,55982.86683545,56037.498192,56039.0,55982.86683545,4.63713758,20210311
15339,2021-03-11 11:27:00+08:00,56038.0,56081.0,56087.0,56005.0,1.23287395,20210311
15338,2021-03-11 11:28:00+08:00,56068.0,56058.0,56078.0,56024.66901095,0.03492737,20210311
15337,2021-03-11 11:29:00+08:00,56076.0,56073.0,56076.0,56048.3569104,0.0155,20210311
15336,2021-03-11 11:30:00+08:00,56056.0,55925.0,56056.0,55905.0,8.0710762,20210311
15335,2021-03-11 11:31:00+08:00,55925.17371749,55818.98139258,55961.0,55811.0,2.77079937,20210311
15334,2021-03-11 11:32:00+08:00,55811.0,55804.0,55872.0,55761.0,1.39843277,20210311
15333,2021-03-11 11:33:00+08:00,55811.0,55697.0,55823.0,55697.0,3.4734333299999998,20210311
15332,2021-03-11 11:34:00+08:00,55722.0,55788.0,55789.0,55702.0,1.69482657,20210311
15331,2021-03-11 11:35:00+08:00,55785.0,55647.0,55785.0,55647.0,2.18809002,20210311
15330,2021-03-11 11:36:00+08:00,55674.0,55727.0,55761.0,55656.0,2.14720262,20210311
15329,2021-03-11 11:37:00+08:00,55711.0,55667.72484,55711.38931422,55645.0,2.26380064,20210311
15328,2021-03-11 11:38:00+08:00,55676.0,55721.0,55721.0,55676.0,1.7409659100000001,20210311
15327,2021-03-11 11:39:00+08:00,55719.0,55720.0,55726.0,55693.0,0.45005464,20210311
15326,2021-03-11 11:40:00+08:00,55720.0,55769.0,55789.0,55720.0,1.60810732,20210311
15325,2021-03-11 11:41:00+08:00,55770.90876,55718.35654732,55771.0,55717.0,0.60726938,20210311
15324,2021-03-11 11:42:00+08:00,55752.0,55773.0,55789.0,55752.0,0.59469078,20210311
15323,2021-03-11 11:43:00+08:00,55768.0,55761.0,55775.515185,55761.0,0.12989124,20210311
15322,2021-03-11 11:44:00+08:00,55761.0,55761.0,55761.0,55760.2500445,0.034203950000000004,20210311
15321,2021-03-11 11:45:00+08:00,55761.0,55793.6587065,55799.624539,55760.2500445,2.05018065,20210311
15320,2021-03-11 11:46:00+08:00,55800.0,55876.0,55876.0,55800.0,8.61651591,20210311
